"","Susc_FN","Evaluation","Likert_Evaluation","Education_Score","Age","Gender","Income_Score","CRT_Score","Dummy_Congruence","Familiar_Dummy","Duration","Dig_Lit_Avg","Article_day","ResponseId","Ideology_Score","Treat_Search"
"1",0,"CND",4,1,29,"Female",1,0,0,0,"367",3,"jan 8_1","R_3GvJgIjdwtdt9wE",0,1
"2",1,"True",5,2,42,"Male",3,2,1,1,"602",4,"jan 8_1","R_1kS0hfFzlGHXz7t",2,1
"3",0,"CND",4,4,39,"Male",0,2,NA,0,"623",4.4,"jan 8_1","R_VQHqDRHBXBdb453",NA,1
"4",1,"True",4,3,33,"Male",2,2,0,0,"810",3.7,"jan 8_1","R_2UXWWWC2yNMSz03",0,1
"5",0,"Misl/False",1,3,29,"Male",0,0,0,0,"783",4.5,"jan 8_1","R_1qgtrsEWLt4xvJh",-2,1
"6",1,"True",6,3,42,"Male",1,0,0,0,"772",4.3,"jan 8_1","R_21A6gdr9bo1cMZ3",0,1
"7",0,"Misl/False",1,1,18,"Female",2,0,1,0,"819",4,"jan 8_1","R_W9FY8STlhurOlRn",1,1
"8",0,"CND",4,2,37,"Male",1,1,0,0,"862",3.9,"jan 8_1","R_Zt8QeQSgK9L2ITv",-2,1
"9",1,"True",5,1,47,"Male",2,2,0,0,"1429",4.4,"jan 8_1","R_1QbX5vJpHTMrps7",-3,1
"10",0,"Misl/False",6,1,35,"Female",1,2,0,0,"1864",3.6,"jan 8_1","R_u9q2mvKkbOAof8R",0,1
"11",1,"True",6,1,35,"Male",1,2,0,0,"2119",4.5,"jan 8_1","R_3LbyW8ci7dADl3h",0,1
"12",1,"True",6,1,66,"Female",1,4,0,0,"1511",3.8,"jan 8_1","R_1eJeGa7EcDBOuCe",0,1
"13",1,"True",5,1,26,"Male",0,1,1,0,"5510",4.1,"jan 8_1","R_3J3f3Unc80jLPEA",2,1
"14",1,"True",7,1,70,"Female",0,1,1,0,"2003",3.9,"jan 8_1","R_3JE3gSByvXxGoAE",3,1
"15",1,"True",7,2,43,"Male",1,1,0,1,"494",4.4,"jan 8_1","R_3nDgOV3hC6ex17m",-2,1
"16",0,"Misl/False",3,1,63,"Female",1,2,1,0,"1162",2.5,"jan 8_1","R_2saxPtYQT9oW6P1",2,1
"17",1,"True",7,1,63,"Female",0,0,NA,0,"2045",2.2,"jan 8_1","R_2YsP6aHr1v8CoPj",NA,1
"18",0,"Misl/False",7,5,31,"Male",1,2,1,0,"451",4.7,"jan 8_1","R_2wMH08EYEfIlDzX",2,1
"19",0,"CND",3,2,79,"Male",0,0,0,0,"1647",1.7,"jan 8_1","R_3MDz1SdXaE05W6I",-2,1
"20",1,"True",4,3,34,"Male",2,0,NA,0,"847",4.2,"jan 8_1","R_3EfZgPaH6X24Du9",NA,1
"21",0,"CND",3,5,48,"Male",2,1,0,0,"537",4.8,"jan 8_1","R_3k1cL1p5SBx8a8N",0,1
"22",1,"True",6,3,42,"Female",3,0,0,1,"796",4.6,"jan 8_1","R_2Sk2cOM2ATnZ2Uo",-2,1
"23",0,"CND",4,3,32,"Female",1,0,0,0,"547",3.8,"jan 8_1","R_2pQQa2ha8uF0d5K",-1,1
"24",0,"CND",4,3,46,"Female",2,3,1,0,"759",3.4,"jan 8_1","R_3fYL4e7ovLHzw2d",2,1
"25",0,"CND",3,4,33,"Female",1,4,0,0,"1105",4.1,"jan 8_1","R_1f28NMk4eWVZ58h",-2,1
"26",0,"Misl/False",5,3,35,"Female",0,2,0,0,"1130",4.4,"jan 8_1","R_2RZZv3nOnwM6vgh",0,1
"27",1,"True",5,3,24,"Female",1,3,0,0,"726",4.3,"jan 8_1","R_3ilLulOnXr3eLCP",-1,1
"28",1,"True",6,3,26,"Female",0,2,0,0,"963",4.1,"jan 8_1","R_1FnXY6L6pquwvTC",-2,1
"29",0,"Misl/False",3,3,30,"Female",1,2,0,0,"846",4.1,"jan 8_1","R_2pYaVbPlY1EwWVB",-3,1
"30",1,"True",6,4,38,"Female",1,0,0,0,"966",4.6,"jan 8_1","R_1NFm0WsUKe4WCH5",-2,1
"31",1,"True",4,3,23,"Male",0,4,0,1,"609",4,"jan 8_4","R_2sg8G5ScACQXDBD",0,1
"32",0,"CND",2,4,33,"Male",2,0,0,0,"359",3.2,"jan 8_4","R_3EoEQTPTamCuiyA",-2,1
"33",0,"CND",1,5,41,"Male",3,3,NA,0,"384",5,"jan 8_4","R_33CH7Cq6LdeTg9C",NA,1
"34",1,"True",7,1,18,"Female",1,1,1,1,"611",3.6,"jan 8_4","R_svctzvZkDhkVN29",1,1
"35",1,"True",4,4,42,"Male",3,0,0,1,"635",4.3,"jan 8_4","R_2dndlF2m39j0Zf2",0,1
"36",0,"Misl/False",1,0,58,"Male",1,1,0,1,"975",4.1,"jan 8_4","R_0JNPe4JxtvUgq8F",-2,1
"37",0,"CND",6,4,35,"Male",1,1,0,1,"643",4.3,"jan 8_4","R_1C7MBNuSgC2OB5g",-1,1
"38",0,"CND",7,1,64,"Female",0,0,0,1,"1474",3,"jan 8_4","R_3DnJLNDN8xwBqci",0,1
"39",1,"True",6,2,29,"Male",0,0,1,1,"1803",4.6,"jan 8_4","R_1Cymh7ZPP5sM3hc",1,1
"40",0,"CND",4,2,38,"Male",0,0,0,0,"1891",1.5,"jan 8_4","R_2eRUQKn2rwVnxXI",0,1
"41",1,"True",7,1,24,"Female",0,2,0,0,"2774",3.4,"jan 8_4","R_dp1l86bMUhAwnol",-3,1
"42",1,"True",7,1,67,"Female",0,2,1,0,"3317",3.1,"jan 8_4","R_pEjwh97qBlQvXeF",2,1
"43",1,"True",6,3,21,"Male",0,0,1,1,"468",4.5,"jan 8_4","R_1LkeBjfJiH6jMT7",1,1
"44",0,"Misl/False",1,1,59,"Female",1,3,0,0,"2048",3.7,"jan 8_4","R_2uTFMfKF0t4cNat",0,1
"45",1,"True",7,1,64,"Female",0,0,1,1,"1398",3.4,"jan 8_4","R_2QugGrgulNvHeKi",2,1
"46",1,"True",6,1,59,"Female",0,0,0,1,"2039",2.8,"jan 8_4","R_QbqDaT9W7reepln",-2,1
"47",1,"True",4,1,63,"Male",0,3,1,1,"1030",2.2,"jan 8_4","R_AnPYjCgnaDCMPaF",3,1
"48",1,"True",6,1,22,"Female",0,2,0,1,"1192",3.6,"jan 8_4","R_3qdqftti7o5eQvA",0,1
"49",1,"True",2,3,19,"Male",1,1,0,0,"945",4.6,"jan 8_4","R_3p6hDONtpymnZQw",0,1
"50",1,"True",4,2,24,"Male",1,0,0,0,"424",2.9,"jan 8_4","R_22PHYjROX3CBYsg",-2,1
"51",1,"True",7,3,63,"Male",0,0,0,1,"1247",3,"jan 8_4","R_2uUiKMnQuqzNQMg",-3,1
"52",1,"True",5,3,25,"Male",1,1,0,0,"615",4.9,"jan 8_4","R_06O7V38CHNVfRwl",0,1
"53",0,"Misl/False",1,3,46,"Male",0,2,1,0,"1269",3.9,"jan 8_4","R_2qrfdQEzYCsp3Wc",3,1
"54",0,"Misl/False",4,3,24,"Male",0,3,0,1,"982",3.5,"jan 8_4","R_2txIpf8gVEI1pze",-3,1
"55",0,"CND",4,3,35,"Female",2,0,0,0,"419",4.6,"jan 8_4","R_2CPmoRF835v6Ord",-2,1
"56",0,"CND",4,3,66,"Female",1,1,1,0,"645",3.2,"jan 8_4","R_2Scc64HlrW9stSE",3,1
"57",1,"True",7,3,68,"Female",0,2,0,1,"831",2.3,"jan 8_4","R_2rHKJMxRfo8ghL6",-2,1
"58",1,"True",6,3,70,"Female",2,1,0,1,"903",3.6,"jan 8_4","R_1DoivFM9vil7qCf",0,1
"59",0,"CND",4,3,66,"Female",0,1,1,0,"944",2.5,"jan 8_4","R_yX4kXcpmcpiNxux",3,1
"60",1,"True",6,3,62,"Male",0,0,1,1,"1087",2.5,"jan 8_4","R_XAntCrHYX1D94iJ",2,1
"61",1,"True",7,4,37,"Female",3,0,0,0,"872",3.6,"jan 8_4","R_2YD2vVPmEHJJYcS",0,1
"62",1,"True",5,4,50,"Female",0,3,1,1,"1279",3.2,"jan 8_4","R_zcnv6FhvqYT5oWJ",2,1
"63",0,"Misl/False",2,3,26,"Female",0,3,0,0,"917",2.7,"jan 8_4","R_DCuMIuO5D0QeMiR",-2,1
"64",0,"Misl/False",2,3,33,"Female",1,2,1,1,"1015",4.6,"jan 8_4","R_2s7neTXuBtmoUeu",2,1
"65",1,"True",6,4,31,"Female",1,3,0,1,"955",3.7,"jan 8_4","R_3nIW13klvSVzvl8",0,1
"66",1,"True",4,4,28,"Male",1,2,0,1,"570",2.9,"jan 13_1","R_2X5KIlK1ZJgBqBz",0,1
"67",1,"True",6,4,41,"Male",1,2,0,0,"483",3.3,"jan 13_1","R_3psscVRctHe25F1",-2,1
"68",0,"Misl/False",2,3,49,"Male",1,2,0,0,"1029",5,"jan 13_1","R_2WS8scPWZo6pyqv",-3,1
"69",1,"True",6,3,40,"Male",1,3,0,0,"1073",3.7,"jan 13_1","R_REqcmhjZacejm13",2,1
"70",1,"True",6,1,27,"Male",0,3,0,0,"1969",3,"jan 13_1","R_zcJgzl9X7473pwB",-1,1
"71",0,"CND",6,4,41,"Male",0,0,0,0,"1582",3.9,"jan 13_1","R_1M6BWajQrtLLsHn",-3,1
"72",1,"True",7,3,69,"Male",1,1,0,1,"2239",2.9,"jan 13_1","R_1qU3V3dogNTOxnm",2,1
"73",0,"CND",4,3,45,"Male",2,3,0,0,"1968",2.4,"jan 13_1","R_1r39IRViujftMPm",1,1
"74",1,"True",6,1,61,"Male",1,2,0,0,"2454",1.8,"jan 13_1","R_2tzjMFPhAkidY6a",0,1
"75",0,"Misl/False",2,0,67,"Female",0,0,0,0,"1251",2.2,"jan 13_1","R_XOegS0AbIn6j8fT",2,1
"76",1,"True",6,1,76,"Male",2,0,0,0,"1623",4.1,"jan 13_1","R_DJjNjHM9d5kEBMd",2,1
"77",1,"True",6,3,67,"Male",1,2,0,0,"1343",3.4,"jan 13_1","R_3Jw64RxDtPQ24Pj",-2,1
"78",1,"True",7,1,57,"Female",0,2,0,0,"2323",3.6,"jan 13_1","R_3hbSLR0r9kToFIb",1,1
"79",1,"True",7,1,68,"Male",0,1,0,0,"901",3.8,"jan 13_1","R_0PRPmgw6Gr2WSxr",0,1
"80",1,"True",5,4,33,"Male",1,3,0,1,"2874",2.5,"jan 13_1","R_24hCzMU9xekX8hK",-2,1
"81",1,"True",7,2,59,"Male",0,1,0,1,"2602",4,"jan 13_1","R_3nI9NleRzC8OB2i",1,1
"82",1,"True",7,3,43,"Male",0,0,0,0,"712",3.7,"jan 13_1","R_qxxW6n688Uumfgl",3,1
"83",1,"True",7,3,34,"Male",1,1,0,0,"1053",5,"jan 13_1","R_3HB50zRTHQcfgfr",1,1
"84",0,"CND",1,2,35,"Male",1,0,0,0,"530",3.9,"jan 13_1","R_2YV1BtsreEcSwm8",3,1
"85",1,"True",6,1,63,"Male",1,0,0,0,"1987",2.3,"jan 13_1","R_3n9pdLpBexKTXah",0,1
"86",1,"True",5,1,32,"Female",1,2,0,0,"1537",2,"jan 13_1","R_2aluzXEaBjp8oMn",-2,1
"87",1,"True",6,3,29,"Female",0,2,0,0,"408",4,"jan 13_1","R_3HzynS8t6HyEN5w",1,1
"88",0,"Misl/False",1,4,47,"Female",3,1,0,0,"802",5,"jan 13_1","R_2zwOT8tzhCqbXki",3,1
"89",1,"True",4,3,39,"Female",0,3,0,0,"796",3,"jan 13_1","R_1DVbx1oXzTbJJCq",1,1
"90",0,"Misl/False",1,3,25,"Female",0,4,0,0,"901",4.8,"jan 13_1","R_3JIrHEpomCfFz2y",-2,1
"91",1,"True",6,3,22,"Female",0,3,0,0,"707",3,"jan 13_1","R_1Isb6uxvlkNmxQ7",0,1
"92",1,"True",4,2,36,"Female",0,1,NA,0,"717",3.1,"jan 13_1","R_BYdyFII4spb2v5L",NA,1
"93",1,"True",5,3,45,"Female",0,1,NA,1,"1055",2.8,"jan 13_1","R_0HDlVS4JRJ60CKB",NA,1
"94",1,"True",6,3,26,"Female",1,4,0,0,"728",5,"jan 13_1","R_2Y8GfdxFHdsJ40L",0,1
"95",0,"Misl/False",2,3,55,"Female",3,3,0,0,"1328",3.7,"jan 13_1","R_2xLQHurGdMqUHvP",2,1
"96",0,"Misl/False",2,4,67,"Female",2,3,0,0,"1616",2.5,"jan 13_1","R_8lb5vOpFBYK2rIZ",0,1
"97",1,"True",7,3,51,"Female",3,3,0,1,"1493",4.5,"jan 13_1","R_1M6OU8uvJXocIge",2,1
"98",1,"True",6,3,55,"Female",3,2,0,1,"1750",2.6,"jan 13_1","R_cNooi5RyWGbNcUV",0,1
"99",0,"Misl/False",6,3,44,"Female",0,3,0,0,"1608",4.8,"jan 13_1","R_2dnogEXmq0y36Rb",-2,1
"100",1,"True",7,2,54,"Female",1,0,0,1,"2122",2.8,"jan 13_1","R_1Ka0F1YFOm7h1JJ",-1,1
"101",1,"True",5,3,46,"Female",1,3,0,0,"1881",4,"jan 13_1","R_wWS7PAWHY7P6SRj",0,1
"102",1,"True",6,3,41,"Female",1,1,0,0,"1779",4.5,"jan 13_1","R_2ZNVAMOwcczbbCI",-2,1
"103",1,"True",7,2,32,"Female",0,1,0,0,"4511",4.5,"jan 13_1","R_3lMn9cTgZLTgyxT",-2,1
"104",1,"True",7,2,59,"Female",1,3,0,0,"8054",4.2,"jan 13_1","R_3OlAnFCwFw87FNJ",-2,1
"105",1,"True",6,2,54,"Female",1,1,0,1,"12062",4.5,"jan 13_1","R_3EfKsKlsdqLj0db",0,1
"106",1,"True",5,1,19,"Female",1,3,NA,1,"616",4.7,"jan 13_2","R_25yL1sWQbB0nnKd",NA,1
"107",1,"True",6,3,38,"Male",2,2,0,0,"904",3.7,"jan 13_2","R_3D5houXlWaJCs5g",0,1
"108",1,"True",6,1,30,"Female",1,0,0,0,"1037",3,"jan 13_2","R_2VmDUsgrAb1JjzZ",3,1
"109",0,"Misl/False",2,3,52,"Male",1,3,0,0,"1425",4.5,"jan 13_2","R_yxRO0xOnoOqXjkR",3,1
"110",0,"Misl/False",4,3,45,"Male",2,3,0,0,"1111",4.7,"jan 13_2","R_0ukbmZymy4Jw3ex",1,1
"111",0,"CND",4,1,60,"Female",2,0,0,0,"1150",1.8,"jan 13_2","R_3h09dE6KlliVeke",1,1
"112",0,"Misl/False",2,1,61,"Female",0,2,0,0,"1708",4.5,"jan 13_2","R_pgffCCJxNat4dcl",0,1
"113",0,"CND",4,1,35,"Male",1,0,0,1,"1929",3.8,"jan 13_2","R_2rMJY1ArfKyeL0h",0,1
"114",1,"True",6,3,66,"Male",1,3,0,0,"1306",4.3,"jan 13_2","R_1IWvX83TkOPGitb",1,1
"115",1,"True",7,3,49,"Male",1,0,1,1,"2449",4.6,"jan 13_2","R_5cGM1kp8lta5QPv",-2,1
"116",0,"Misl/False",1,1,73,"Female",0,1,0,1,"1756",2.3,"jan 13_2","R_1CdQGsp9CtV73yu",2,1
"117",1,"True",4,1,67,"Female",0,2,0,1,"3713",2.4,"jan 13_2","R_bxzXGfmNHQRxQ6l",0,1
"118",0,"Misl/False",1,1,73,"Female",3,2,0,1,"2114",3,"jan 13_2","R_2alrZpUcPJSm6uY",0,1
"119",0,"CND",4,3,34,"Male",1,2,0,0,"3421",2.9,"jan 13_2","R_2QDtAzcm0nbkSgd",0,1
"120",0,"Misl/False",4,1,18,"Male",0,4,1,0,"1270",3.9,"jan 13_2","R_2uVZpePAaD2IcgW",-1,1
"121",1,"True",5,3,37,"Male",2,1,0,0,"3544",2.9,"jan 13_2","R_3NID80qTSeOqKF1",0,1
"122",1,"True",6,2,66,"Female",0,2,0,0,"2595",3.4,"jan 13_2","R_blmMsZcwvBFCfDP",0,1
"123",1,"True",7,2,59,"Male",1,3,0,1,"3990",2.8,"jan 13_2","R_3R9ndmnAmoJdDEI",0,1
"124",0,"Misl/False",1,3,63,"Male",1,1,0,0,"1663",4,"jan 13_2","R_1lrwb5RtZ7iQebm",3,1
"125",1,"True",5,4,29,"Male",1,1,0,0,"911",3.3,"jan 13_2","R_3Ht9o7bcJYP4T2U",0,1
"126",0,"CND",4,2,32,"Female",2,1,1,0,"933",4.5,"jan 13_2","R_3jZ2R6uLYqq8wrG",-2,1
"127",1,"True",7,3,42,"Female",0,1,1,0,"651",5,"jan 13_2","R_1LBuR7EJhFrntu8",-3,1
"128",0,"CND",4,2,57,"Female",1,1,0,0,"716",2.4,"jan 13_2","R_3PM3bANSh3LAZcD",0,1
"129",0,"CND",4,4,52,"Female",3,1,0,0,"702",3.6,"jan 13_2","R_2rkfeTieRnIu5Sx",0,1
"130",0,"CND",5,2,46,"Female",0,1,0,1,"1137",4.4,"jan 13_2","R_24DisbonoGCnD0T",1,1
"131",1,"True",4,2,29,"Female",1,2,1,0,"1161",3.2,"jan 13_2","R_3n7ysZa5Vg8oW0p",-3,1
"132",1,"True",7,1,55,"Female",1,3,0,1,"2079",3,"jan 13_2","R_YSwXLIV7qViOuad",0,1
"133",1,"True",6,3,65,"Female",2,0,1,1,"1258",4,"jan 13_2","R_2dX7jK0jmFInNem",-3,1
"134",0,"CND",4,3,66,"Female",0,0,0,0,"1474",4.1,"jan 13_2","R_poN4fKLxFLDRHcB",0,1
"135",1,"True",5,4,62,"Female",0,3,1,0,"1702",3.2,"jan 13_2","R_6QfDEJ0ilAIouSl",-1,1
"136",0,"CND",4,5,63,"Female",0,3,0,0,"1900",2.7,"jan 13_2","R_1nT74cvCTrj9yff",0,1
"137",0,"Misl/False",4,3,53,"Female",1,2,0,0,"1933",3.8,"jan 13_2","R_d1k17xtm5Jyf8kx",1,1
"138",1,"True",3,3,24,"Female",1,0,0,1,"1296",2.9,"jan 13_2","R_3NQP2uyQC81LnVv",0,1
"139",0,"CND",1,2,57,"Female",0,0,0,1,"1734",4.2,"jan 13_2","R_2QmRmGNJOaD7Eoh",3,1
"140",1,"True",7,3,55,"Female",3,0,0,1,"1957",5,"jan 13_2","R_2y79TS6PkfFmspf",2,1
"141",0,"CND",4,3,22,"Female",2,3,1,0,"2106",3.3,"jan 13_2","R_2V4QsHzh1lyRN2k",-3,1
"142",0,"CND",4,2,40,"Female",0,0,0,0,"2801",3,"jan 13_2","R_1OqaBluVXU0gSGV",0,1
"143",0,"CND",4,3,48,"Female",0,0,1,0,"4852",2.5,"jan 13_2","R_3M0wfb0skM3hMvz",-1,1
"144",0,"CND",4,4,83,"Female",0,1,1,0,"5077",2.1,"jan 13_2","R_2TtPFflvxDwWvJU",-2,1
"145",0,"CND",4,3,34,"Male",1,0,0,0,"581",3.6,"jan 21_1","R_2tu5bz3S0N431s0",0,1
"146",0,"CND",3,1,67,"Female",0,0,0,0,"1048",1.2,"jan 21_1","R_3jYBvzeAoCMOodX",0,1
"147",1,"True",7,1,27,"Female",1,0,0,0,"850",4.4,"jan 21_1","R_2SJoqLhHiny6JqT",0,1
"148",0,"Misl/False",4,1,53,"Male",0,4,NA,0,"937",3,"jan 21_1","R_3hik6Z90gX1jibZ",NA,1
"149",0,"CND",5,3,44,"Male",2,3,1,0,"1533",3.8,"jan 21_1","R_3dGkBd2npO71Lx8",1,1
"150",1,"True",7,1,66,"Female",0,3,0,0,"970",2.9,"jan 21_1","R_3J7M5nJ84OjM2Af",0,1
"151",0,"CND",4,0,53,"Female",0,0,0,0,"2264",3.6,"jan 21_1","R_BVduQir98DEgAlr",0,1
"152",1,"True",6,1,52,"Female",3,2,1,1,"2622",3.8,"jan 21_1","R_12mzrjtYGYe0ToT",3,1
"153",1,"True",7,2,63,"Female",2,0,0,0,"2970",3.7,"jan 21_1","R_2dyyX4NRootZprY",0,1
"154",0,"CND",2,1,62,"Female",1,2,0,0,"1072",4.2,"jan 21_1","R_Y6aNQAfYWyEfZBL",-2,1
"155",0,"CND",4,1,62,"Female",0,3,NA,0,"1198",2.8,"jan 21_1","R_2PAVIzjxXGs2s52",NA,1
"156",0,"Misl/False",1,3,48,"Male",1,1,1,0,"1460",4.9,"jan 21_1","R_3OkswIHTOhfqftu",2,1
"157",0,"Misl/False",1,3,22,"Female",1,1,0,0,"508",4.2,"jan 21_1","R_2qpxPfak7vj39E8",-3,1
"158",0,"CND",4,1,40,"Female",0,1,0,0,"1625",3.3,"jan 21_1","R_XmLUzdLwj4RvFK1",0,1
"159",1,"True",7,1,58,"Female",1,0,1,0,"1199",4,"jan 21_1","R_2YkX6DfTRXmrZ1c",2,1
"160",0,"CND",4,1,40,"Male",0,2,0,0,"625",2.8,"jan 21_1","R_8tOV2doEzp6MZAR",0,1
"161",0,"Misl/False",1,1,27,"Female",0,1,0,0,"1049",3.7,"jan 21_1","R_1OHzHHhfe5D66sq",-3,1
"162",1,"True",7,3,65,"Male",1,2,1,0,"1678",4.3,"jan 21_1","R_3EWRRh0XHVOAhtn",3,1
"163",0,"CND",4,1,71,"Female",1,1,1,0,"1615",2.7,"jan 21_1","R_3HC5McYIHeb0P2S",1,1
"164",1,"True",7,1,61,"Male",0,1,1,0,"1838",3.7,"jan 21_1","R_yw1ggg7Jovtktxv",2,1
"165",1,"True",7,3,56,"Male",3,1,0,0,"2424",4.4,"jan 21_1","R_2QKiQrzVzxNr0nz",-3,1
"166",1,"True",7,1,75,"Female",1,2,1,1,"1408",3.8,"jan 21_1","R_2aY9oORYzV8Rp2p",2,1
"167",0,"Misl/False",1,1,68,"Female",0,1,0,0,"1386",4.2,"jan 21_1","R_3shLvfcnG4pcL3p",-3,1
"168",1,"True",7,4,52,"Female",0,3,1,0,"2076",3.2,"jan 21_1","R_2xMf3nxtFo9Nlv4",3,1
"169",0,"Misl/False",2,3,25,"Male",0,2,0,0,"736",3,"jan 21_1","R_3O05438Edsm41e0",0,1
"170",0,"CND",4,1,48,"Male",1,1,0,0,"324",5,"jan 21_1","R_2VK0OXqGl1hi4kP",0,1
"171",0,"CND",4,3,39,"Male",0,0,0,1,"459",3.1,"jan 21_1","R_2D1azn5r0B0LOyd",-2,1
"172",0,"Misl/False",2,3,42,"Male",1,3,1,0,"853",2,"jan 21_1","R_3HLIiilNZeC5GK1",2,1
"173",0,"Misl/False",3,4,38,"Male",2,3,0,1,"1700",4.8,"jan 21_1","R_2eXAAVpbvQy09VX",-2,1
"174",0,"Misl/False",2,3,34,"Female",0,2,0,0,"598",4.2,"jan 21_1","R_tE5SKQy68Cik4aB",-3,1
"175",0,"Misl/False",4,3,27,"Female",1,2,0,0,"699",4,"jan 21_1","R_31zPYSw2PY2tuJ6",-2,1
"176",1,"True",7,2,27,"Female",1,1,1,0,"1668",4.3,"jan 21_1","R_2v7GAExzy8KbZuI",3,1
"177",1,"True",6,2,30,"Female",1,1,1,0,"1873",2.6,"jan 21_1","R_2P5Qut9Hu3j8D0b",1,1
"178",0,"CND",4,3,33,"Male",0,1,1,0,"553",4.3,"jan 21_3","R_QoKhhHTWY1ZxLRD",1,1
"179",0,"CND",5,1,30,"Female",0,0,1,0,"418",3.8,"jan 21_3","R_3F99SzLXTPbckwx",1,1
"180",0,"Misl/False",4,3,32,"Male",1,0,1,0,"714",5,"jan 21_3","R_2pMIZzqKxPGvnEL",2,1
"181",1,"True",5,3,32,"Male",2,3,0,0,"1351",5,"jan 21_3","R_1mkIn8bCutOCcmR",-2,1
"182",0,"Misl/False",4,3,41,"Male",1,4,0,0,"1648",3.4,"jan 21_3","R_3PulNTBgMGpuEiJ",0,1
"183",0,"Misl/False",4,1,28,"Female",0,2,0,0,"1655",4.2,"jan 21_3","R_3kjtb7Z6a6goPR0",0,1
"184",0,"CND",4,1,60,"Female",0,2,0,0,"1451",2.7,"jan 21_3","R_3ke39MZ55rMt4Zi",-2,1
"185",0,"CND",4,0,38,"Female",0,2,NA,0,"752",2.9,"jan 21_3","R_ZK96mddY1bhaTst",NA,1
"186",0,"CND",4,1,33,"Female",0,1,0,0,"1088",3.2,"jan 21_3","R_2y4sLJIA5lB2tpv",0,1
