"","Susc_FN","Evaluation","Likert_Evaluation","Education_Score","Age","Gender","Income_Score","CRT_Score","Dummy_Congruence","Familiar_Dummy","Duration","Dig_Lit_Avg","Article_day","ResponseId","Ideology_Score","Treat_Search"
"1",1,"True",4,1,37,"Female",0,2,0,0,"540",3.8,"jan 7_5","R_WfcQWNTHOHIdjWh",0,1
"2",1,"True",5,1,31,"Female",0,1,0,1,"1655",4.5,"jan 7_5","R_Wjl3XivLTFpRxjX",0,1
"3",0,"Misl/False",4,1,31,"Female",1,3,0,0,"690",3.7,"jan 7_5","R_3e2MjEVsODriloO",0,1
"4",1,"True",7,1,66,"Male",0,1,1,1,"1197",3.7,"jan 7_5","R_2yel3jkB5KLoP5K",-2,1
"5",1,"True",7,2,47,"Male",0,1,1,0,"1062",3,"jan 7_5","R_sZHcDe1DwZXIWyd",-2,1
"6",1,"True",7,1,31,"Male",0,4,1,1,"1481",4,"jan 7_5","R_2DSt4YcGIikmFzA",-3,1
"7",0,"CND",4,1,67,"Female",0,0,0,0,"1972",1.7,"jan 7_5","R_1MJQ5bePs0FzfGp",0,1
"8",1,"True",6,1,66,"Male",0,1,1,1,"1402",3.2,"jan 7_5","R_cUUdQUGVCv8cnIt",-3,1
"9",0,"Misl/False",3,1,69,"Female",0,3,1,0,"1620",3.5,"jan 7_5","R_BEe2agRklwcccaB",-2,1
"10",1,"True",7,1,63,"Female",1,1,1,1,"1531",4.6,"jan 7_5","R_1erxTDx7zqkJUlu",-2,1
"11",0,"CND",3,1,38,"Male",0,1,0,0,"1931",2.5,"jan 7_5","R_2EiTxBXD7ECeDFO",0,1
"12",1,"True",7,1,65,"Male",0,3,1,1,"5413",3.4,"jan 7_5","R_3mfwgvMvOrMWEHP",-1,1
"13",1,"True",4,1,63,"Female",0,0,0,0,"2286",3.3,"jan 7_5","R_0cWU6jv5sjcSO1H",0,1
"14",1,"True",6,1,63,"Male",1,3,1,0,"877",2.9,"jan 7_5","R_2bIfYbPxlCSm3R8",-2,1
"15",1,"True",5,4,32,"Male",1,3,0,0,"6876",3.9,"jan 7_5","R_3lAe86zAXOWzWL6",1,1
"16",1,"True",6,1,38,"Male",0,2,0,0,"1070",4.6,"jan 7_5","R_30l6JF4P3iOdq7i",0,1
"17",0,"CND",5,1,46,"Male",0,0,0,1,"685",3.4,"jan 7_5","R_2rq0nIQR0ePT0jz",0,1
"18",1,"True",6,1,53,"Female",0,2,0,0,"772",2.8,"jan 7_5","R_32QPuB3lmOQt3ZI",2,1
"19",1,"True",5,3,29,"Female",1,0,0,0,"1311",4.1,"jan 7_5","R_2vcOu7LsmUNjlUg",1,1
"20",1,"True",7,1,22,"Male",0,1,1,0,"788",3.4,"jan 7_5","R_1CHmg5Y2L8f6mpf",-3,1
