,date,article_type,article_number,mode,in_robust_mode,no_false,all_true_set,any_true_set,no_true,all_false_set,any_false_set
0,nov 13,1,1,CND,,False,False,False,True,False,True
1,nov 13,2,2,T,True,True,True,True,False,False,False
2,nov 13,3,3,CND,,False,False,False,True,False,True
3,nov 13,4,4,T,True,True,True,True,False,False,False
4,nov 13,5,5,T,True,True,True,True,False,False,False
5,nov 14,1,6,T,False,False,False,True,False,False,False
6,nov 14,2,7,FM,True,False,False,False,True,True,True
7,nov 14,3,8,T,True,False,False,True,False,False,False
8,nov 14,4,9,T,False,False,False,True,False,False,False
9,nov 14,5,10,T,True,True,True,True,False,False,False
10,nov 18,1,11,FM,True,False,False,False,True,True,True
11,nov 18,2,12,FM,True,False,False,False,False,False,True
12,nov 18,3,13,T,True,True,True,True,False,False,False
13,nov 18,4,14,T,True,True,True,True,False,False,False
14,nov 18,5,15,T,True,True,True,True,False,False,False
15,nov 19,1,16,FM,True,False,False,False,True,True,True
16,nov 19,2,17,No Mode!,,False,False,False,False,False,False
17,nov 19,3,18,FM,True,False,False,False,False,False,True
18,nov 19,4,19,T,True,True,True,True,False,False,False
19,nov 19,5,20,T,True,True,True,True,False,False,False
20,nov 20,1,21,FM,True,False,False,False,True,True,True
21,nov 20,2,22,T,True,True,True,True,False,False,False
22,nov 20,3,23,FM,True,False,False,False,True,True,True
23,nov 20,4,24,T,True,False,False,True,False,False,False
24,nov 20,5,25,T,True,True,True,True,False,False,False
25,nov 21,1,26,FM,True,False,False,False,True,True,True
26,nov 21,2,27,T,True,False,False,True,False,False,False
27,nov 21,3,28,FM,True,False,False,False,True,True,True
28,nov 21,4,29,T,True,True,True,True,False,False,False
29,nov 21,5,30,T,True,True,True,True,False,False,False
30,dec 2,1,31,T,True,True,True,True,False,False,False
31,dec 2,2,32,No Mode!,,False,False,False,False,False,False
32,dec 2,3,33,FM,True,False,False,False,True,True,True
33,dec 2,4,34,T,True,False,False,True,False,False,False
34,dec 2,5,35,T,True,True,True,True,False,False,False
35,dec 3,1,36,FM,True,False,False,False,False,False,True
36,dec 3,2,37,FM,False,False,False,False,True,False,True
37,dec 3,3,38,T,False,False,False,True,False,False,False
38,dec 3,4,39,T,True,True,True,True,False,False,False
39,dec 3,5,40,T,True,True,True,True,False,False,False
40,dec 4,1,41,FM,True,False,False,False,True,True,True
41,dec 4,2,42,FM,True,False,False,False,False,False,True
42,dec 4,3,43,CND,,False,False,False,False,False,False
43,dec 4,4,44,T,True,False,False,True,False,False,False
44,dec 4,5,45,T,True,True,True,True,False,False,False
45,dec 5,1,46,T,False,False,False,True,False,False,False
46,dec 5,2,47,T,False,True,False,True,False,False,False
47,dec 5,3,48,T,True,True,True,True,False,False,False
48,dec 5,4,49,T,True,True,True,True,False,False,False
49,dec 5,5,50,T,True,True,True,True,False,False,False
50,dec 9,1,51,T,True,False,False,True,False,False,False
51,dec 9,2,52,T,True,False,False,True,False,False,False
